Membership Type,LongTrip,Lat,Long,Year,Month,Temp,TripCount,Month_Jan,Month_Feb,Month_Mar,Month_Apr,Month_May,Month_Jun,Month_Jul,Month_Aug,Month_Sep,Month_Oct,Month_Nov,Month_Dec
Student Membership,1,30.26979,-97.7308,2021,12,62.7,7,0,0,0,0,0,0,0,0,0,0,0,1
Explorer,1,30.26993,-97.74212,2017,1,55.4,1,1,0,0,0,0,0,0,0,0,0,0,0
Local30,1,30.25578,-97.73991,2017,6,83.4,20,0,0,0,0,0,1,0,0,0,0,0,0
Explorer,0,30.26924,-97.73968,2018,10,69.5,1,0,0,0,0,0,0,0,0,0,1,0,0
Local365,0,30.25891,-97.74624,2017,7,86.9,50,0,0,0,0,0,0,1,0,0,0,0,0
Walk Up,0,30.26476,-97.73152,2017,10,68.7,27,0,0,0,0,0,0,0,0,0,1,0,0
Local365,0,30.28365,-97.73955,2022,1,47.2,4,1,0,0,0,0,0,0,0,0,0,0,0
Local365,0,30.28365,-97.73955,2021,12,62.7,27,0,0,0,0,0,0,0,0,0,0,0,1
Local365,0,30.27633,-97.7412,2015,9,80.5,11,0,0,0,0,0,0,0,0,1,0,0,0
Local365,1,30.28585,-97.74182,2019,4,68.2,1,0,0,0,1,0,0,0,0,0,0,0,0
Local365,0,30.26709,-97.73933,2017,9,78.3,20,0,0,0,0,0,0,0,0,1,0,0,0
Local365,0,30.28533,-97.74652,2022,1,47.2,38,1,0,0,0,0,0,0,0,0,0,0,0
Local365,0,30.26976,-97.75316,2018,5,79.2,184,0,0,0,0,1,0,0,0,0,0,0,0
Local30,0,30.260241,-97.753822,2016,7,86.4,37,0,0,0,0,0,0,1,0,0,0,0,0
Walk Up,1,30.25527,-97.71635,2017,12,50.4,32,0,0,0,0,0,0,0,0,0,0,0,1
24 Hour Walk Up Pass,0,30.28347,-97.73743,2021,11,58.4,1,0,0,0,0,0,0,0,0,0,0,1,0
Explorer,1,30.26011,-97.73829,2017,2,63.7,7,0,1,0,0,0,0,0,0,0,0,0,0
Local30,1,30.26686,-97.74945,2020,7,86.5,13,0,0,0,0,0,0,1,0,0,0,0,0
Walk Up,0,30.26924,-97.73968,2017,4,70.7,34,0,0,0,1,0,0,0,0,0,0,0,0
Local365,0,30.26235,-97.72452,2021,7,80.8,12,0,0,0,0,0,0,1,0,0,0,0,0
Weekender,0,30.24329,-97.72277,2018,8,86.6,4,0,0,0,0,0,0,0,1,0,0,0,0
Walk Up,1,30.26871,-97.72795,2017,8,84.4,10,0,0,0,0,0,0,0,1,0,0,0,0
Weekender,0,30.26805,-97.7428,2017,12,50.4,10,0,0,0,0,0,0,0,0,0,0,0,1
U.T. Student Membership,0,30.29058,-97.7429,2019,11,56.8,90,0,0,0,0,0,0,0,0,0,0,1,0
24-Hour Kiosk (Austin B-cycle),0,30.264299,-97.744202,2014,3,56.7,437,0,0,1,0,0,0,0,0,0,0,0,0
Explorer,1,30.25976,-97.74932,2018,10,69.5,1,0,0,0,0,0,0,0,0,0,1,0,0
Local30,1,30.28347,-97.73743,2019,10,69.8,1,0,0,0,0,0,0,0,0,0,1,0,0
Local30,0,30.26836,-97.73651,2016,10,73.3,31,0,0,0,0,0,0,0,0,0,1,0,0
Explorer,1,30.26768,-97.74147,2020,12,52.4,7,0,0,0,0,0,0,0,0,0,0,0,1
Local365,1,30.25116,-97.74908,2015,6,79.1,5,0,0,0,0,0,1,0,0,0,0,0,0
24 Hour Walk Up Pass,0,30.26976,-97.75316,2021,11,58.4,3,0,0,0,0,0,0,0,0,0,0,1,0
Explorer,0,30.26619,-97.743477,2020,9,77.0,4,0,0,0,0,0,0,0,0,1,0,0,0
Local30,0,30.27633,-97.7412,2016,7,86.4,20,0,0,0,0,0,0,1,0,0,0,0,0
U.T. Student Membership,1,30.26993,-97.74212,2019,5,77.3,2,0,0,0,0,1,0,0,0,0,0,0,0
U.T. Student Membership,1,30.2603,-97.71864,2018,8,86.6,2,0,0,0,0,0,0,0,1,0,0,0,0
24 Hour Walk Up Pass,0,30.26933,-97.74736,2021,3,62.4,6,0,0,1,0,0,0,0,0,0,0,0,0
24-Hour Kiosk (Austin B-cycle),1,30.27691,-97.75156,2014,11,54.1,47,0,0,0,0,0,0,0,0,0,0,1,0
Explorer,1,30.27329,-97.73821,2018,5,79.2,4,0,0,0,0,1,0,0,0,0,0,0,0
Local365,1,30.25893,-97.71469,2018,3,64.7,19,0,0,1,0,0,0,0,0,0,0,0,0
Walk Up,1,30.264299,-97.744202,2016,3,63.5,424,0,0,1,0,0,0,0,0,0,0,0,0
Walk Up,1,30.2603,-97.71864,2016,11,64.6,34,0,0,0,0,0,0,0,0,0,0,1,0
Local30,1,30.26933,-97.74736,2016,5,73.5,16,0,0,0,0,1,0,0,0,0,0,0,0
Local365,0,30.26011,-97.73829,2019,4,68.2,16,0,0,0,1,0,0,0,0,0,0,0,0
Local31,0,30.26686,-97.74945,2021,6,80.3,16,0,0,0,0,0,1,0,0,0,0,0,0
Walk Up,0,30.26805,-97.7428,2017,1,55.4,26,1,0,0,0,0,0,0,0,0,0,0,0
Local365,1,30.27633,-97.7412,2017,1,55.4,2,1,0,0,0,0,0,0,0,0,0,0,0
Local365,0,30.26924,-97.73968,2015,10,71.9,80,0,0,0,0,0,0,0,0,0,1,0,0
24 Hour Walk Up Pass,1,30.28382,-97.74196,2020,3,67.5,1,0,0,1,0,0,0,0,0,0,0,0,0
Local30,1,30.28382,-97.74196,2015,6,79.1,3,0,0,0,0,0,1,0,0,0,0,0,0
Explorer,1,30.27267,-97.74083,2015,4,69.5,3,0,0,0,1,0,0,0,0,0,0,0,0
Local365,1,30.25866,-97.74848,2015,9,80.5,6,0,0,0,0,0,0,0,0,1,0,0,0
Local365,0,30.28063,-97.73813,2017,11,63.9,30,0,0,0,0,0,0,0,0,0,0,1,0
Local30,0,30.26386,-97.76365,2019,10,69.8,9,0,0,0,0,0,0,0,0,0,1,0,0
Local30,1,30.26976,-97.75316,2017,9,78.3,16,0,0,0,0,0,0,0,0,1,0,0,0
U.T. Student Membership,1,30.2598,-97.72341,2018,7,86.2,3,0,0,0,0,0,0,1,0,0,0,0,0
Walk Up,1,30.23949,-97.76535,2016,3,63.5,428,0,0,1,0,0,0,0,0,0,0,0,0
24 Hour Walk Up Pass,1,30.25527,-97.71635,2019,3,58.6,13,0,0,1,0,0,0,0,0,0,0,0,0
Local30,0,30.27267,-97.74083,2018,11,55.8,6,0,0,0,0,0,0,0,0,0,0,1,0
24 Hour Walk Up Pass,1,30.26805,-97.7428,2019,5,77.3,27,0,0,0,0,1,0,0,0,0,0,0,0
Walk Up,0,30.27972,-97.74232,2017,12,50.4,10,0,0,0,0,0,0,0,0,0,0,0,1
Walk Up,1,30.23949,-97.76535,2017,1,55.4,76,1,0,0,0,0,0,0,0,0,0,0,0
Walk Up,0,30.26709,-97.73933,2015,3,58.2,302,0,0,1,0,0,0,0,0,0,0,0,0
Walk Up,0,30.24892,-97.74992,2017,4,70.7,58,0,0,0,1,0,0,0,0,0,0,0,0
Local30,1,30.24892,-97.74992,2016,6,82.0,4,0,0,0,0,0,1,0,0,0,0,0,0
Explorer,0,30.26933,-97.74736,2015,5,74.0,1,0,0,0,0,1,0,0,0,0,0,0,0
Explorer,0,30.26768,-97.74147,2020,5,76.1,1,0,0,0,0,1,0,0,0,0,0,0,0
Explorer,1,30.26871,-97.72795,2017,1,55.4,1,1,0,0,0,0,0,0,0,0,0,0,0
Local365,1,30.26708,-97.75014,2022,2,46.8,21,0,1,0,0,0,0,0,0,0,0,0,0
Explorer,0,30.25578,-97.73991,2015,1,46.0,1,1,0,0,0,0,0,0,0,0,0,0,0
Local30,0,30.26539,-97.74801,2017,1,55.4,5,1,0,0,0,0,0,0,0,0,0,0,0
Walk Up,1,30.26768,-97.74147,2016,6,82.0,202,0,0,0,0,0,1,0,0,0,0,0,0
Local30,0,30.26386,-97.76365,2019,8,87.2,8,0,0,0,0,0,0,0,1,0,0,0,0
24 Hour Walk Up Pass,0,30.26686,-97.74945,2018,12,52.5,1,0,0,0,0,0,0,0,0,0,0,0,1
Local30,1,30.25627,-97.71013,2017,6,83.4,8,0,0,0,0,0,1,0,0,0,0,0,0
Local365,1,30.27947,-97.74479,2021,2,47.4,31,0,1,0,0,0,0,0,0,0,0,0,0
Local365,1,30.26011,-97.73829,2018,5,79.2,11,0,0,0,0,1,0,0,0,0,0,0,0
Local30,0,30.27972,-97.74232,2017,8,84.4,18,0,0,0,0,0,0,0,1,0,0,0,0
Local30,0,30.25792,-97.73911,2015,12,55.2,9,0,0,0,0,0,0,0,0,0,0,0,1
Explorer,0,30.27206,-97.73866,2016,9,80.5,1,0,0,0,0,0,0,0,0,1,0,0,0
Explorer,1,30.26924,-97.73968,2016,3,63.5,4,0,0,1,0,0,0,0,0,0,0,0,0
Walk Up,0,30.25792,-97.73911,2015,5,74.0,74,0,0,0,0,1,0,0,0,0,0,0,0
Local365,0,30.26476,-97.73152,2019,5,77.3,5,0,0,0,0,1,0,0,0,0,0,0,0
Explorer,1,30.26204,-97.76143,2017,9,78.3,4,0,0,0,0,0,0,0,0,1,0,0,0
Local365,1,30.25891,-97.74624,2017,7,86.9,7,0,0,0,0,0,0,1,0,0,0,0,0
Local365,0,30.26871,-97.72795,2019,5,77.3,1,0,0,0,0,1,0,0,0,0,0,0,0
24 Hour Walk Up Pass,1,30.28365,-97.73955,2021,4,65.2,7,0,0,0,1,0,0,0,0,0,0,0,0
Local365,1,30.26256,-97.76215,2016,5,73.5,5,0,0,0,0,1,0,0,0,0,0,0,0
U.T. Student Membership,1,30.26539,-97.74801,2018,4,64.8,55,0,0,0,1,0,0,0,0,0,0,0,0
24-Hour Kiosk (Austin B-cycle),0,30.25866,-97.74848,2013,12,47.4,42,0,0,0,0,0,0,0,0,0,0,0,1
Walk Up,1,30.23949,-97.76535,2015,3,58.2,485,0,0,1,0,0,0,0,0,0,0,0,0
Weekender,1,30.26979,-97.7308,2015,7,83.1,2,0,0,0,0,0,0,1,0,0,0,0,0
Walk Up,0,30.27631,-97.74476,2018,7,86.2,1,0,0,0,0,0,0,1,0,0,0,0,0
U.T. Student Membership,0,30.24892,-97.74992,2018,10,69.5,2,0,0,0,0,0,0,0,0,0,1,0,0
Explorer,1,30.264299,-97.744202,2017,4,70.7,13,0,0,0,1,0,0,0,0,0,0,0,0
Local30,0,30.26708,-97.75014,2018,7,86.2,50,0,0,0,0,0,0,1,0,0,0,0,0
Local30,1,30.264341,-97.740441,2018,7,86.2,4,0,0,0,0,0,0,1,0,0,0,0,0
Local365,1,30.27143,-97.74007,2015,3,58.2,5,0,0,1,0,0,0,0,0,0,0,0,0
Weekender,0,30.26204,-97.76143,2017,4,70.7,19,0,0,0,1,0,0,0,0,0,0,0,0
Local365,0,30.268999,-97.766563,2020,10,69.6,26,0,0,0,0,0,0,0,0,0,1,0,0
24 Hour Walk Up Pass,1,30.26024,-97.77379,2020,3,67.5,7,0,0,1,0,0,0,0,0,0,0,0,0
Local365,1,30.24892,-97.74992,2016,5,73.5,2,0,0,0,0,1,0,0,0,0,0,0,0
Explorer,1,30.26933,-97.74736,2020,6,81.5,1,0,0,0,0,0,1,0,0,0,0,0,0
Explorer,0,30.26933,-97.74736,2020,3,67.5,6,0,0,1,0,0,0,0,0,0,0,0,0
Explorer,0,30.26386,-97.76365,2019,6,82.3,6,0,0,0,0,0,1,0,0,0,0,0,0
Local30,1,30.26498,-97.7466,2019,2,56.0,2,0,1,0,0,0,0,0,0,0,0,0,0
Local365,0,30.27329,-97.73821,2015,9,80.5,29,0,0,0,0,0,0,0,0,1,0,0,0
24-Hour Kiosk (Austin B-cycle),0,30.25976,-97.74932,2014,2,52.0,59,0,1,0,0,0,0,0,0,0,0,0,0
Explorer,1,30.27486,-97.76484,2021,9,78.9,4,0,0,0,0,0,0,0,0,1,0,0,0
Local365,1,30.25116,-97.74908,2016,9,80.5,1,0,0,0,0,0,0,0,0,1,0,0,0
24 Hour Walk Up Pass,1,30.2425,-97.71722,2021,12,62.7,24,0,0,0,0,0,0,0,0,0,0,0,1
U.T. Student Membership,0,30.26933,-97.74736,2021,12,62.7,1,0,0,0,0,0,0,0,0,0,0,0,1
U.T. Student Membership,1,30.26458,-97.75716,2018,12,52.5,18,0,0,0,0,0,0,0,0,0,0,0,1
Local365,0,30.28585,-97.74182,2017,5,75.5,26,0,0,0,0,1,0,0,0,0,0,0,0
Walk Up,1,30.26768,-97.74147,2017,3,67.4,152,0,0,1,0,0,0,0,0,0,0,0,0
Explorer,0,30.268999,-97.766563,2017,1,55.4,1,1,0,0,0,0,0,0,0,0,0,0,0
Explorer,1,30.28382,-97.74196,2019,10,69.8,6,0,0,0,0,0,0,0,0,0,1,0,0
Walk Up,1,30.26291,-97.75765,2015,12,55.2,18,0,0,0,0,0,0,0,0,0,0,0,1
Local30,0,30.264341,-97.740441,2018,1,46.6,10,1,0,0,0,0,0,0,0,0,0,0,0
Weekender,0,30.26976,-97.75316,2018,4,64.8,20,0,0,0,1,0,0,0,0,0,0,0,0
Local30,1,30.25218,-97.7487,2018,5,79.2,6,0,0,0,0,1,0,0,0,0,0,0,0
24 Hour Walk Up Pass,1,30.26976,-97.75316,2020,3,67.5,13,0,0,1,0,0,0,0,0,0,0,0,0
24 Hour Walk Up Pass,1,30.28947,-97.73681,2022,1,47.2,2,1,0,0,0,0,0,0,0,0,0,0,0
U.T. Student Membership,1,30.27947,-97.74479,2020,11,63.2,4,0,0,0,0,0,0,0,0,0,0,1,0
U.T. Student Membership,0,30.27486,-97.76484,2020,5,76.1,1,0,0,0,0,1,0,0,0,0,0,0,0
Local31,0,30.28947,-97.73681,2022,2,46.8,7,0,1,0,0,0,0,0,0,0,0,0,0
Local30,1,30.27972,-97.74232,2016,9,80.5,1,0,0,0,0,0,0,0,0,1,0,0,0
Weekender,1,30.264341,-97.740441,2016,3,63.5,29,0,0,1,0,0,0,0,0,0,0,0,0
Local30,1,30.26768,-97.74147,2019,5,77.3,2,0,0,0,0,1,0,0,0,0,0,0,0
Local365,0,30.268999,-97.766563,2021,2,47.4,2,0,1,0,0,0,0,0,0,0,0,0,0
Explorer,0,30.26993,-97.74212,2020,10,69.6,1,0,0,0,0,0,0,0,0,0,1,0,0
24 Hour Walk Up Pass,1,30.26043,-97.73935,2019,7,84.2,10,0,0,0,0,0,0,1,0,0,0,0,0
Walk Up,0,30.2642,-97.73294,2014,12,53.3,9,0,0,0,0,0,0,0,0,0,0,0,1
Explorer,1,30.26976,-97.75316,2021,8,82.2,10,0,0,0,0,0,0,0,1,0,0,0,0
Walk Up,1,30.26441,-97.73051,2015,2,49.2,52,0,1,0,0,0,0,0,0,0,0,0,0
Explorer,1,30.2425,-97.71722,2021,5,72.4,32,0,0,0,0,1,0,0,0,0,0,0,0
Weekender,1,30.26498,-97.7466,2017,2,63.7,11,0,1,0,0,0,0,0,0,0,0,0,0
Local365,1,30.27267,-97.74083,2015,9,80.5,7,0,0,0,0,0,0,0,0,1,0,0,0
Local30,1,30.27329,-97.73821,2017,5,75.5,1,0,0,0,0,1,0,0,0,0,0,0,0
Weekender,0,30.26011,-97.73829,2018,1,46.6,26,1,0,0,0,0,0,0,0,0,0,0,0
Local365,1,30.26256,-97.76215,2016,7,86.4,15,0,0,0,0,0,0,1,0,0,0,0,0
Local30,0,30.27267,-97.74083,2015,3,58.2,8,0,0,1,0,0,0,0,0,0,0,0,0
Local365,0,30.26686,-97.74945,2015,8,84.2,168,0,0,0,0,0,0,0,1,0,0,0,0
Local30,1,30.28365,-97.73955,2020,6,81.5,5,0,0,0,0,0,1,0,0,0,0,0,0
Walk Up,0,30.26805,-97.7428,2018,6,85.4,26,0,0,0,0,0,1,0,0,0,0,0,0
Local365,0,30.264299,-97.744202,2015,9,80.5,130,0,0,0,0,0,0,0,0,1,0,0,0
Student Membership,0,30.28382,-97.74196,2022,2,46.8,628,0,1,0,0,0,0,0,0,0,0,0,0
Local31,0,30.26709,-97.73933,2021,2,47.4,2,0,1,0,0,0,0,0,0,0,0,0,0
Local365,1,30.27947,-97.74479,2020,7,86.5,20,0,0,0,0,0,0,1,0,0,0,0,0
Local365,0,30.25578,-97.73991,2021,11,58.4,57,0,0,0,0,0,0,0,0,0,0,1,0
Local365,0,30.27267,-97.74083,2018,9,80.4,10,0,0,0,0,0,0,0,0,1,0,0,0
Walk Up,0,30.25866,-97.74848,2015,11,61.0,39,0,0,0,0,0,0,0,0,0,0,1,0
U.T. Student Membership,1,30.26836,-97.73651,2018,10,69.5,5,0,0,0,0,0,0,0,0,0,1,0,0
Student Membership,0,30.29058,-97.7429,2021,7,80.8,52,0,0,0,0,0,0,1,0,0,0,0,0
Explorer,1,30.27206,-97.73866,2017,3,67.4,3,0,0,1,0,0,0,0,0,0,0,0,0
Weekender,1,30.26291,-97.75765,2015,11,61.0,2,0,0,0,0,0,0,0,0,0,0,1,0
Local30,0,30.26539,-97.74801,2015,12,55.2,65,0,0,0,0,0,0,0,0,0,0,0,1
Local30,1,30.28118,-97.75138,2016,8,83.0,3,0,0,0,0,0,0,0,1,0,0,0,0
Explorer,1,30.27267,-97.74083,2018,3,64.7,16,0,0,1,0,0,0,0,0,0,0,0,0
Local365,0,30.26708,-97.75014,2017,1,55.4,218,1,0,0,0,0,0,0,0,0,0,0,0
Weekender,0,30.27691,-97.75156,2015,11,61.0,7,0,0,0,0,0,0,0,0,0,0,1,0
Weekender,1,30.28382,-97.74196,2015,9,80.5,2,0,0,0,0,0,0,0,0,1,0,0,0
Weekender,0,30.2603,-97.71864,2016,1,49.3,4,1,0,0,0,0,0,0,0,0,0,0,0
Local30,0,30.25218,-97.7487,2015,6,79.1,6,0,0,0,0,0,1,0,0,0,0,0,0
Explorer,0,30.26924,-97.73968,2017,11,63.9,2,0,0,0,0,0,0,0,0,0,0,1,0
Local365,1,30.28382,-97.74196,2021,7,80.8,55,0,0,0,0,0,0,1,0,0,0,0,0
Weekender,1,30.26498,-97.7466,2017,6,83.4,23,0,0,0,0,0,1,0,0,0,0,0,0
Local30,0,30.25893,-97.71469,2018,3,64.7,18,0,0,1,0,0,0,0,0,0,0,0,0
Local365,0,30.268999,-97.766563,2021,1,52.4,4,1,0,0,0,0,0,0,0,0,0,0,0
Weekender,1,30.26924,-97.73968,2018,9,80.4,2,0,0,0,0,0,0,0,0,1,0,0,0
Explorer,1,30.26043,-97.73935,2019,7,84.2,4,0,0,0,0,0,0,1,0,0,0,0,0
Local31,0,30.25527,-97.71635,2020,11,63.2,1,0,0,0,0,0,0,0,0,0,0,1,0
Local365,1,30.26993,-97.74212,2018,9,80.4,7,0,0,0,0,0,0,0,0,1,0,0,0
Explorer,0,30.26256,-97.76215,2015,4,69.5,1,0,0,0,1,0,0,0,0,0,0,0,0
U.T. Student Membership,0,30.264299,-97.744202,2019,2,56.0,1,0,1,0,0,0,0,0,0,0,0,0,0
Weekender,0,30.26011,-97.73829,2017,6,83.4,17,0,0,0,0,0,1,0,0,0,0,0,0
Local365,0,30.26686,-97.74945,2018,1,46.6,86,1,0,0,0,0,0,0,0,0,0,0,0
Walk Up,0,30.26709,-97.73933,2017,2,63.7,26,0,1,0,0,0,0,0,0,0,0,0,0
Weekender,0,30.26976,-97.75316,2015,6,79.1,10,0,0,0,0,0,1,0,0,0,0,0,0
Local30,0,30.26979,-97.7308,2016,1,49.3,6,1,0,0,0,0,0,0,0,0,0,0,0
24 Hour Walk Up Pass,1,30.26458,-97.75716,2020,4,67.2,39,0,0,0,1,0,0,0,0,0,0,0,0
Local31,1,30.26458,-97.75716,2020,11,63.2,40,0,0,0,0,0,0,0,0,0,0,1,0
24 Hour Walk Up Pass,1,30.26708,-97.75014,2019,3,58.6,11,0,0,1,0,0,0,0,0,0,0,0,0
Local365,0,30.26871,-97.72795,2018,8,86.6,7,0,0,0,0,0,0,0,1,0,0,0,0
24 Hour Walk Up Pass,1,30.26386,-97.76365,2021,9,78.9,25,0,0,0,0,0,0,0,0,1,0,0,0
Local365,1,30.26979,-97.7308,2021,1,52.4,5,1,0,0,0,0,0,0,0,0,0,0,0
Local30,0,30.264341,-97.740441,2015,10,71.9,15,0,0,0,0,0,0,0,0,0,1,0,0
U.T. Student Membership,0,30.25866,-97.74848,2018,5,79.2,1,0,0,0,0,1,0,0,0,0,0,0,0
Local30,1,30.2598,-97.72341,2016,3,63.5,2,0,0,1,0,0,0,0,0,0,0,0,0
Walk Up,0,30.28118,-97.75138,2016,8,83.0,1,0,0,0,0,0,0,0,1,0,0,0,0
Walk Up,0,30.25893,-97.71469,2016,1,49.3,18,1,0,0,0,0,0,0,0,0,0,0,0
U.T. Student Membership,0,30.27947,-97.74479,2021,5,72.4,31,0,0,0,0,1,0,0,0,0,0,0,0
Walk Up,0,30.27631,-97.74476,2017,9,78.3,14,0,0,0,0,0,0,0,0,1,0,0,0
Local365,0,30.25527,-97.71635,2015,9,80.5,39,0,0,0,0,0,0,0,0,1,0,0,0
Local30,1,30.26976,-97.75316,2016,8,83.0,7,0,0,0,0,0,0,0,1,0,0,0,0
24 Hour Walk Up Pass,1,30.28347,-97.73743,2019,7,84.2,8,0,0,0,0,0,0,1,0,0,0,0,0
Local365,0,30.25578,-97.73991,2022,2,46.8,43,0,1,0,0,0,0,0,0,0,0,0,0
Local30,0,30.27267,-97.74083,2017,1,55.4,8,1,0,0,0,0,0,0,0,0,0,0,0
Walk Up,1,30.26933,-97.74736,2018,1,46.6,25,1,0,0,0,0,0,0,0,0,0,0,0
Weekender,0,30.26396,-97.73363,2015,7,83.1,1,0,0,0,0,0,0,1,0,0,0,0,0
Local365,1,30.26811,-97.74663,2016,5,73.5,3,0,0,0,0,1,0,0,0,0,0,0,0
24 Hour Walk Up Pass,1,30.25527,-97.71635,2020,3,67.5,5,0,0,1,0,0,0,0,0,0,0,0,0
Local365,0,30.26924,-97.73968,2017,12,50.4,13,0,0,0,0,0,0,0,0,0,0,0,1
U.T. Student Membership,1,30.2425,-97.71722,2019,6,82.3,16,0,0,0,0,0,1,0,0,0,0,0,0
Weekender,1,30.25866,-97.74848,2018,5,79.2,26,0,0,0,0,1,0,0,0,0,0,0,0
Local30,1,30.26873,-97.74521,2015,9,80.5,1,0,0,0,0,0,0,0,0,1,0,0,0
Weekender,0,30.26498,-97.7466,2018,2,55.5,8,0,1,0,0,0,0,0,0,0,0,0,0
Local365,0,30.2603,-97.71864,2018,9,80.4,26,0,0,0,0,0,0,0,0,1,0,0,0
24-Hour Kiosk (Austin B-cycle),1,30.27584,-97.74733,2014,7,82.8,24,0,0,0,0,0,0,1,0,0,0,0,0
Weekender,0,30.28063,-97.73813,2016,10,73.3,4,0,0,0,0,0,0,0,0,0,1,0,0
Explorer,0,30.26805,-97.7428,2020,9,77.0,2,0,0,0,0,0,0,0,0,1,0,0,0
Local30,1,30.27633,-97.7412,2017,6,83.4,2,0,0,0,0,0,1,0,0,0,0,0,0
24-Hour Kiosk (Austin B-cycle),1,30.23949,-97.76535,2014,6,81.8,198,0,0,0,0,0,1,0,0,0,0,0,0
Local31,0,30.26805,-97.7428,2022,1,47.2,23,1,0,0,0,0,0,0,0,0,0,0,0
Local30,0,30.26976,-97.75316,2017,5,75.5,47,0,0,0,0,1,0,0,0,0,0,0,0
Local30,1,30.26719,-97.74695,2017,7,86.9,6,0,0,0,0,0,0,1,0,0,0,0,0
Walk Up,1,30.25527,-97.71635,2016,10,73.3,82,0,0,0,0,0,0,0,0,0,1,0,0
Local30,1,30.28978,-97.74026,2019,10,69.8,1,0,0,0,0,0,0,0,0,0,1,0,0
Local30,1,30.26976,-97.75316,2018,2,55.5,19,0,1,0,0,0,0,0,0,0,0,0,0
Student Membership,0,30.28533,-97.74652,2021,4,65.2,56,0,0,0,1,0,0,0,0,0,0,0,0
Local365,1,30.26976,-97.75316,2019,1,50.1,15,1,0,0,0,0,0,0,0,0,0,0,0
Student Membership,0,30.25116,-97.74908,2021,6,80.3,1,0,0,0,0,0,1,0,0,0,0,0,0
24 Hour Walk Up Pass,1,30.26256,-97.76215,2019,6,82.3,23,0,0,0,0,0,1,0,0,0,0,0,0
Walk Up,1,30.25893,-97.71469,2017,2,63.7,30,0,1,0,0,0,0,0,0,0,0,0,0
Local365,0,30.26011,-97.73829,2019,11,56.8,11,0,0,0,0,0,0,0,0,0,0,1,0
Local30,0,30.26873,-97.74521,2015,11,61.0,11,0,0,0,0,0,0,0,0,0,0,1,0
U.T. Student Membership,0,30.26993,-97.74212,2019,5,77.3,2,0,0,0,0,1,0,0,0,0,0,0,0
Explorer,0,30.28533,-97.74652,2021,12,62.7,6,0,0,0,0,0,0,0,0,0,0,0,1
Explorer,1,30.24892,-97.74992,2019,5,77.3,12,0,0,0,0,1,0,0,0,0,0,0,0
Local365,0,30.26619,-97.743477,2021,9,78.9,36,0,0,0,0,0,0,0,0,1,0,0,0
Explorer,0,30.26204,-97.76143,2017,1,55.4,2,1,0,0,0,0,0,0,0,0,0,0,0
Local365,0,30.26686,-97.74945,2021,9,78.9,86,0,0,0,0,0,0,0,0,1,0,0,0
Student Membership,0,30.27486,-97.76484,2021,5,72.4,1,0,0,0,0,1,0,0,0,0,0,0,0
Local365,1,30.26871,-97.72795,2018,3,64.7,8,0,0,1,0,0,0,0,0,0,0,0,0
Walk Up,0,30.27691,-97.75156,2016,1,49.3,46,1,0,0,0,0,0,0,0,0,0,0,0
Local365,1,30.27947,-97.74479,2019,12,52.6,15,0,0,0,0,0,0,0,0,0,0,0,1
Walk Up,1,30.2598,-97.72341,2015,11,61.0,43,0,0,0,0,0,0,0,0,0,0,1,0
Walk Up,0,30.25218,-97.7487,2015,4,69.5,108,0,0,0,1,0,0,0,0,0,0,0,0
24 Hour Walk Up Pass,1,30.26768,-97.74147,2021,6,80.3,19,0,0,0,0,0,1,0,0,0,0,0,0
Local365,1,30.26539,-97.74801,2017,4,70.7,33,0,0,0,1,0,0,0,0,0,0,0,0
Local365,0,30.27972,-97.74232,2015,8,84.2,53,0,0,0,0,0,0,0,1,0,0,0,0
Walk Up,0,30.264341,-97.740441,2018,5,79.2,48,0,0,0,0,1,0,0,0,0,0,0,0
Walk Up,0,30.26476,-97.73152,2018,4,64.8,43,0,0,0,1,0,0,0,0,0,0,0,0
Explorer,0,30.26708,-97.75014,2020,2,52.5,7,0,1,0,0,0,0,0,0,0,0,0,0
Weekender,1,30.26709,-97.73933,2017,6,83.4,22,0,0,0,0,0,1,0,0,0,0,0,0
Explorer,0,30.26011,-97.73829,2021,8,82.2,13,0,0,0,0,0,0,0,1,0,0,0,0
Local30,0,30.26458,-97.75716,2019,5,77.3,20,0,0,0,0,1,0,0,0,0,0,0,0
Walk Up,0,30.2601,-97.70949,2016,5,73.5,4,0,0,0,0,1,0,0,0,0,0,0,0
U.T. Student Membership,1,30.26458,-97.75716,2019,7,84.2,7,0,0,0,0,0,0,1,0,0,0,0,0
Explorer,1,30.26836,-97.73651,2018,3,64.7,8,0,0,1,0,0,0,0,0,0,0,0,0
Explorer,1,30.264299,-97.744202,2021,3,62.4,29,0,0,1,0,0,0,0,0,0,0,0,0
Student Membership,0,30.28978,-97.74026,2021,10,71.4,1492,0,0,0,0,0,0,0,0,0,1,0,0
Weekender,1,30.24892,-97.74992,2015,8,84.2,6,0,0,0,0,0,0,0,1,0,0,0,0
U.T. Student Membership,0,30.2425,-97.71722,2020,3,67.5,10,0,0,1,0,0,0,0,0,0,0,0,0
U.T. Student Membership,0,30.26498,-97.7466,2019,1,50.1,1,1,0,0,0,0,0,0,0,0,0,0,0
Local30,0,30.28063,-97.73813,2016,10,73.3,5,0,0,0,0,0,0,0,0,0,1,0,0
Local30,1,30.25116,-97.74908,2019,6,82.3,1,0,0,0,0,0,1,0,0,0,0,0,0
